,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,position,player
14,0,0,0,0,0.0,719,0.0,0.0,0.0,0.0,351,0,0,0.0,0.0,2023-05-14T15:30:00Z,0,1,0,0,0,0,36,0,580,0,3,0,0.0,0,24,60,36,45,False,0,3,149
15,0,0,0,0,0.0,719,0.0,0.0,0.0,0.0,248,0,0,0.0,0.0,2023-05-18T18:30:00Z,0,15,0,0,0,0,36,0,580,0,1,4,0.0,0,24,60,36,45,False,0,3,149
16,0,0,0,0,0.0,719,0.0,0.0,0.0,0.0,362,0,0,0.0,0.0,2023-05-21T13:00:00Z,0,17,0,0,0,0,37,0,630,0,1,3,0.0,0,37,72,35,45,True,0,3,149
17,0,0,0,0,0.0,719,0.0,0.0,0.0,0.0,314,0,0,0.0,0.0,2023-05-24T19:00:00Z,0,13,0,0,0,0,37,0,630,0,1,1,0.0,0,37,72,35,45,True,0,3,149
18,0,0,5,0,0.0,719,0.0,0.0,0.0,1.35,372,2,0,0.0,0.0,2023-05-28T15:30:00Z,45,2,0,0,0,0,38,0,646,1,1,2,0.0,1,13,52,39,45,False,0,3,149
19,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,20,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,20,0,0,0,0,2,0,3259,0,4,1,0.0,0,-2490,0,2490,55,False,0,3,149
20,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2023-08-26T16:30:00Z,0,19,0,0,0,0,3,0,2530,0,3,1,0.0,0,-816,0,816,55,True,0,3,149
21,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,15,0,0,0,0,4,0,2168,0,1,3,0.0,0,-382,0,382,55,True,0,3,149
22,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,14,0,0,0,0,5,0,1893,0,3,1,0.0,0,-288,0,288,55,False,0,3,149
23,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,53,0,0,0.0,0.0,2023-09-24T13:00:00Z,0,3,0,0,0,0,6,0,1766,0,1,3,0.0,0,-134,0,134,55,True,0,3,149
24,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,61,0,0,0.0,0.0,2023-09-30T11:30:00Z,0,2,0,0,0,0,7,0,1685,0,1,6,0.0,0,-79,0,79,55,False,0,3,149
25,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,72,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,11,0,0,0,0,8,0,1625,0,2,2,0.0,0,-64,0,64,55,True,0,3,149
26,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,13,0,0,0,0,9,0,1578,0,1,2,0.0,0,-48,0,48,55,False,0,3,149
27,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,94,0,0,0.0,0.0,2023-10-29T14:00:00Z,0,10,0,0,0,0,10,0,1544,0,1,1,0.0,0,-36,0,36,55,True,0,3,149
28,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,103,0,0,0.0,0.0,2023-11-04T15:00:00Z,0,9,0,0,0,0,11,0,1519,0,1,1,0.0,0,-25,0,25,55,False,0,3,149
29,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,114,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,17,0,0,0,0,12,0,1491,0,1,1,0.0,0,-27,0,27,55,True,0,3,149
30,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,128,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,16,0,0,0,0,13,0,1481,0,3,2,0.0,0,-10,0,10,55,False,0,3,149
31,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,135,0,0,0.0,0.0,2023-12-03T14:00:00Z,0,7,0,0,0,0,14,0,1475,0,2,3,0.0,0,-7,0,7,55,False,0,3,149
32,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,142,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,4,0,0,0,0,15,0,1468,0,1,2,0.0,0,-7,0,7,55,True,0,3,149
33,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,152,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,6,0,0,0,0,16,0,1462,0,1,1,0.0,0,-7,0,7,55,True,0,3,149
34,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,161,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,1,0,0,0,0,17,0,1449,0,0,2,0.0,0,-11,0,11,55,False,0,3,149
35,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,172,0,0,0.0,0.0,2023-12-21T20:00:00Z,0,8,0,0,0,0,18,0,1447,0,1,1,0.0,0,-4,0,4,55,False,0,3,149
36,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,184,0,0,0.0,0.0,2023-12-28T19:30:00Z,0,18,0,0,0,0,19,0,1440,0,2,4,0.0,0,-7,0,7,55,True,0,3,149
37,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,199,0,0,0.0,0.0,2024-01-02T19:30:00Z,0,19,0,0,0,0,20,0,1435,0,0,0,0.0,0,-4,0,4,55,False,0,3,149
